"Specimen.ID","Eleginus gracilis","Oncorhynchus kisutch","Oncorhynchus keta","Osmerus mordax","Coregonus sp","Coregonus nasus","Coregonus laurettae","Myzopsetta proboscidea","Oncorhynchus gorbuscha","Liparis spp.","NA","NA.1","NA.2","Clupea pallasii","Ammodytes hexapterus","NA.3","Liopsetta glacialis","NA.4","Myoxocephalus scorpius","Pleuronectes quadrituberculatus","Limanda aspera","Gadus chalcogrammus","NA.5","NA.6","Stichaeus punctatus","NA.7","Lumpenus spp.","NA.8","Acantholumpenus mackayi","Myoxocephalus jaok","Gymnocanthus tricuspis","Gymnocanthus pistilliger","Boreogadus saida","Pusa hispida","Microcottus sellaris","Erignathus barbatus","Pallasina barbata","Delphinapterus leucas","Esox lucius","Myoxocephalus spp.","NA.9","Salvelinus spp.","Hypomesus olidus","NA.10","NA.11","NA.12","Helicobacter spp."
"DL18OME005",49539,0,0,0,0,0,0,0,0,4139,0,1842,0,0,1211,0,0,743,0,0,3,0,443,0,0,0,0,183,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,0,6,0,0
"2014122",0,98343,26927,0,0,0,0,0,4949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
"2017206",11870,2173,4041,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,107,0,0,76,0,0,11,0,0
"2017221",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017230",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"2023157",0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022Beluga-0713-SD",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL17HB001",78187,0,0,21718,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL17OME001",83973,0,0,198,0,0,0,0,0,0,0,5792,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL18OME001",86586,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL18OME002",135643,0,0,63,0,0,0,0,0,0,0,0,0,10,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"DL18OME003",74254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
