"Specimen.ID","NA","Eleginus gracilis","Clupea pallasii","Delphinapterus leucas","Osmerus mordax","NA.1","Pungitius pungitius","NA.2","Hypomesus olidus","NA.3","Ammodytes hexapterus","Hypomesus olidus.1","Glyptocephalus zachirus","NA.4","Gymnocanthus spp.","Liparis spp.","Leptoclinus maculatus","Gymnocanthus tricuspis","Platichthys stellatus","NA.5","Gadus chalcogrammus","Hippoglossoides elassodon","Hemilepidotus spp.","Boreogadus saida","NA.6","Oncorhynchus kisutch","NA.7","Myoxocephalus spp.","Liparis tunicatus","Stichaeus punctatus","Pleuronectes quadrituberculatus","Clupea pallasii.1","Eleginus gracilis.1","Eurymen gyrinus","Coregonus laurettae","NA.8","Nautichthys pribilovius","NA.9","NA.10","Acantholumpenus mackayi","NA.11","NA.12","NA.13","NA.14","Coregonus spp.","Osmerus mordax.1","Gasterosteus aculeatus","Myoxocephalus spp..1","Oncorhynchus keta","NA.15","Ammodytes personatus","Gasterosteus spp.","NA.16","Oncorhynchus gorbuscha","Pusa hispida","Clupea pallasii.2","NA.17","Oncorhynchus kisutch.1","Gadus spp.","Gymnelus viridis","NA.18","Homo sapiens","Mallotus villosus","Aspidophoroides monopterygius","Coregonus laurettae.1","Coregonus spp..1","Melanogrammus aeglefinus","NA.19","NA.20","Myoxocephalus spp..2","Liparis microstomus","Osmerus mordax.2","Bisgaardia spp.","Citharichthys sordidus","Thunnus spp.","Ophiodon elongatus","Chitonotus pugetensis","Artedius harringtoni","Ammodytes spp.","Clostridium spp.","Stenobrachius leucopsarus","Lumpenus sagitta","NA.21","Cottus spp.","NA.22"
"2017198",0,0,0,0.997,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017206",0,0,0,0.963,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017215",0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
"2017217",0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017221",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017222",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017228",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017230",0,0,0,0.996,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018278",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020230",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
