"LabID","Specimen.ID","Eleginus gracilis","Clupea pallasii","Osmerus mordax","Pungitius pungitius","Myoxocephalus spp.","Hypomesus olidus","Ammodytes hexapterus","Glyptocephalus zachirus","Gymnocanthus spp.","Liparis spp.","Leptoclinus maculatus","Gymnocanthus tricuspis","Platichthys stellatus","ASV29","Gadus chalcogrammus","ASV35","Hemilepidotus spp.","ASV42","Lepidopsetta spp.","Oncorhynchus kisutch","Liparis tunicatus","Stichaeus punctatus","Pleuronectes quadrituberculatus","ASV79","Eurymen gyrinus","ASV87","Nautichthys pribilovius","Acantholumpenus mackayi","ASV117","Coregonus spp.","Oncorhynchus keta","Oncorhynchus gorbuscha","ASV194","Gadus spp.","Coregonus laurettae"
"WADE-003-008","2017206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,71,0,35,0,12
"WADE-003-001","2023157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
"WADE-003-004","2023295",0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-019","2021BDL-0708Sa",15997,0,5,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-020","2021BDL-0723A",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
"WADE-003-025","DL17HB001",20029,0,19431,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-026","DL17OME001",35542,0,284,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-027","DL18OME001",26055,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-028","DL18OME002",1515,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-029","DL18OME003",10979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-030","DL18OME004",1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",49189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-032","DL20OME002",586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",21444,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-034","DL21OTZ007",6397,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-035","DL22OME001",8427,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-036","DL22OME002",8127,0,2,0,0,0,0,0,57,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-037","DL22OME003",14235,0,1038,0,0,0,64,0,29,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
