"LabID","Specimen.ID","Eleginus gracilis","Clupea pallasii","Osmerus mordax","Pungitius pungitius","Myoxocephalus spp.","Hypomesus olidus","Ammodytes hexapterus","Glyptocephalus zachirus","Gymnocanthus spp.","Liparis spp.","Leptoclinus maculatus","Gymnocanthus tricuspis","Platichthys stellatus","ASV29","Gadus chalcogrammus","ASV35","Hemilepidotus spp.","ASV42","Lepidopsetta spp.","Oncorhynchus kisutch","Liparis tunicatus","Stichaeus punctatus","Pleuronectes quadrituberculatus","ASV79","Eurymen gyrinus","ASV87","Nautichthys pribilovius","Acantholumpenus mackayi","Podothecus accipenserinus","Coregonus spp.","Oncorhynchus keta","Oncorhynchus gorbuscha","ASV194","Gadus spp.","Coregonus laurettae"
"WADE-003-008","2017206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781,0,0,0,0,0,0,0.132,0,0.065,0,0.022
"WADE-003-001","2023157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0
"WADE-003-004","2023295",0,0.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-019","2021BDL-0708Sa",0.852,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-020","2021BDL-0723A",0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0.002,0,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
"WADE-003-025","DL17HB001",0.507,0,0.492,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-026","DL17OME001",0.977,0,0.008,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-027","DL18OME001",0.999,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-028","DL18OME002",0.982,0,0.003,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-029","DL18OME003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-030","DL18OME004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-032","DL20OME002",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",0.982,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-034","DL21OTZ007",0.994,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-035","DL22OME001",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-036","DL22OME002",0.992,0,0,0,0,0,0,0,0.007,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-037","DL22OME003",0.925,0,0.067,0,0,0,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-038","DL22OME004",0.579,0.365,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0
"WADE-003-039","DL22OME005",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-040","DL22OTZ004",0.961,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-041","DL22SCM001",0.389,0,0.516,0.069,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-042","DL23OME001",0.986,0,0.013,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-043","DL23OME002",0.87,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-044","DL23OME003",0.043,0,0.028,0,0.904,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-045","DL23SCM001",0.717,0,0.029,0,0,0.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0
"WADE-003-104","EB23PH005-S",0.525,0.001,0,0,0.091,0,0,0,0,0,0,0.218,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-109","EB24GAM027-S",0,0,0,0,0.876,0,0,0,0,0.008,0,0,0.031,0,0,0,0,0.052,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-110","EB24PH055-S",0,0,0,0,0,0,0.028,0.826,0.008,0,0.056,0.01,0.03,0,0,0.011,0,0,0,0,0,0,0.02,0,0,0,0,0.011,0,0,0,0,0,0,0
"WADE-003-111","EB24PH075-S",0,0,0,0,0.578,0,0.271,0.016,0.019,0,0.064,0.016,0,0,0,0.02,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-112","PH22SH004-S",0.133,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-113","PH22SH005-S",0,0.62,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-114","PH22SH015-S",0.41,0.421,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-123","PH22SH036-S",0.67,0.26,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-120","PH23SH032-S",0.284,0.193,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-125","EB21GAM031-F",0,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-129","EB23SH008-F",0.055,0.017,0,0,0.082,0,0,0,0,0,0,0,0.421,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0
"WADE-003-130","EB23SH009-F",0,0,0,0,0,0,0.006,0.09,0,0,0.031,0,0,0,0,0.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-131","EB24GAM020-F",0,0,0,0,0.484,0,0,0,0,0.341,0,0,0,0,0.018,0,0,0,0.102,0,0.035,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0
"WADE-003-134","EB24PH075-F",0.031,0,0,0,0.359,0,0.089,0,0,0,0.179,0.151,0,0.045,0,0.083,0,0,0,0,0,0,0,0,0,0.048,0,0,0.016,0,0,0,0,0,0
"WADE-003-135","PH22SH004-F",0.236,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-136","PH22SH005-F",0.013,0,0,0,0,0,0.874,0,0,0,0.001,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-137","PH22SH015-F",0.669,0,0.146,0.003,0.001,0,0,0.015,0.063,0,0,0,0.003,0,0,0.028,0,0.034,0,0,0,0.011,0.027,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-139","PH22SH043-F",0.014,0.898,0.062,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-141","PH23SH005-F",0.375,0.594,0,0,0.025,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-143","PH23SH032-F",0.391,0.451,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-144","PH24GAM014-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
