"LabID","Specimen.ID","Eleginus gracilis","Clupea pallasii","Osmerus mordax","Myoxocephalus spp.","Ammodytes hexapterus","ASV16","Gymnocanthus spp.","Liparis spp.","Leptoclinus maculatus","Gymnocanthus tricuspis","Platichthys stellatus","ASV29","Gadus chalcogrammus","Hemilepidotus spp.","Boreogadus saida","Lepidopsetta spp.","Liparis tunicatus","Stichaeus punctatus","Pleuronectes quadrituberculatus","ASV87","Nautichthys pribilovius","Acantholumpenus mackayi","ASV117","Gadus spp."
"WADE-003-019","2021BDL-0708Sa",16233,0,5,2750,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"WADE-003-020","2021BDL-0723A",0,0,0,0,26,3,0,0,0,0,0,0,0,0,1344,0,0,0,0,0,0,0,0,30
"WADE-003-034","DL21OTZ007",6397,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-040","DL22OTZ004",270,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-104","EB23PH005-S",9099,25,0,1580,0,0,0,0,0,3781,0,2839,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-109","EB24GAM027-S",0,0,0,726,0,0,0,7,0,0,26,0,0,0,43,27,0,0,0,0,0,0,0,0
"WADE-003-110","EB24PH055-S",0,0,0,0,318,9364,94,0,623,116,331,0,0,0,0,0,0,0,226,0,0,122,0,0
"WADE-003-111","EB24PH075-S",0,0,0,12174,5702,762,405,0,1349,347,0,0,0,0,0,0,0,321,0,0,0,0,0,0
"WADE-003-112","PH22SH004-S",132972,886269,55,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-113","PH22SH005-S",0,310,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-114","PH22SH015-S",332771,342865,140324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-123","PH22SH036-S",33199,12851,3640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-116","PH22SH043-S",0,9377,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"WADE-003-118","PH23SH005-S",0,8215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-120","PH23SH032-S",8623,5842,16149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-125","EB21GAM031-F",0,0,0,0,0,0,0,1686,0,0,0,0,0,2483,0,0,0,0,0,0,0,0,0,0
"WADE-003-127","EB23PH005-F",1591,0,0,73,0,551,4230,7,2042,0,0,288,0,4,0,0,0,0,0,0,0,0,80,0
"WADE-003-129","EB23SH008-F",555,170,0,822,0,27,0,0,0,0,4218,4241,0,0,0,0,0,0,0,0,0,11,0,0
"WADE-003-130","EB23SH009-F",0,0,0,0,10,1674,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-131","EB24GAM020-F",0,0,0,8616,0,0,0,6166,0,0,0,0,328,0,0,1811,626,0,0,0,339,0,0,0
"WADE-003-134","EB24PH075-F",235,0,0,2814,678,664,0,0,1365,1155,0,345,0,0,0,0,0,0,0,366,0,0,121,0
"WADE-003-135","PH22SH004-F",4082,13232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-136","PH22SH005-F",116,0,0,0,7820,0,0,0,7,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-137","PH22SH015-F",7877,0,1725,11,33,511,772,0,0,0,35,0,0,0,396,0,0,127,321,0,0,0,0,0
"WADE-003-139","PH22SH043-F",137,9214,617,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-141","PH23SH005-F",8099,12824,0,550,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-143","PH23SH032-F",124,143,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-144","PH24GAM014-F",0,0,0,0,0,0,0,0,0,0,0,0,2669,0,0,0,0,0,0,0,0,0,0,0
