"LabID","Specimen.ID","Eleginus gracilis","Clupea pallasii","Osmerus mordax","Myoxocephalus spp.","Ammodytes hexapterus","ASV16","Gymnocanthus spp.","Liparis spp.","Leptoclinus maculatus","Gymnocanthus tricuspis","Platichthys stellatus","ASV29","Gadus chalcogrammus","Hemilepidotus spp.","Boreogadus saida","Lepidopsetta spp.","Liparis tunicatus","Stichaeus punctatus","Pleuronectes quadrituberculatus","ASV87","Nautichthys pribilovius","Acantholumpenus mackayi","ASV117","Gadus spp."
"WADE-003-019","2021BDL-0708Sa",0.854,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0
"WADE-003-020","2021BDL-0723A",0,0,0,0,0.019,0.002,0,0,0,0,0,0,0,0,0.958,0,0,0,0,0,0,0,0,0.021
"WADE-003-034","DL21OTZ007",0.994,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-040","DL22OTZ004",0.961,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-104","EB23PH005-S",0.525,0.001,0,0.091,0,0,0,0,0,0.218,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-109","EB24GAM027-S",0,0,0,0.876,0,0,0,0.008,0,0,0.031,0,0,0,0.052,0.033,0,0,0,0,0,0,0,0
"WADE-003-110","EB24PH055-S",0,0,0,0,0.028,0.837,0.008,0,0.056,0.01,0.03,0,0,0,0,0,0,0,0.02,0,0,0.011,0,0
"WADE-003-111","EB24PH075-S",0,0,0,0.578,0.271,0.036,0.019,0,0.064,0.016,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0
"WADE-003-112","PH22SH004-S",0.13,0.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-113","PH22SH005-S",0,0.614,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-114","PH22SH015-S",0.408,0.42,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-123","PH22SH036-S",0.668,0.259,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-116","PH22SH043-S",0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0
"WADE-003-118","PH23SH005-S",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-120","PH23SH032-S",0.282,0.191,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-125","EB21GAM031-F",0,0,0,0,0,0,0,0.404,0,0,0,0,0,0.596,0,0,0,0,0,0,0,0,0,0
"WADE-003-127","EB23PH005-F",0.179,0,0,0.008,0,0.062,0.477,0.001,0.23,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0.009,0
"WADE-003-129","EB23SH008-F",0.055,0.017,0,0.082,0,0.003,0,0,0,0,0.42,0.422,0,0,0,0,0,0,0,0,0,0.001,0,0
"WADE-003-130","EB23SH009-F",0,0,0,0,0.006,0.964,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-131","EB24GAM020-F",0,0,0,0.482,0,0,0,0.345,0,0,0,0,0.018,0,0,0.101,0.035,0,0,0,0.019,0,0,0
"WADE-003-134","EB24PH075-F",0.03,0,0,0.363,0.088,0.086,0,0,0.176,0.149,0,0.045,0,0,0,0,0,0,0,0.047,0,0,0.016,0
"WADE-003-135","PH22SH004-F",0.236,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-136","PH22SH005-F",0.013,0,0,0,0.874,0,0,0,0.001,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-137","PH22SH015-F",0.667,0,0.146,0.001,0.003,0.043,0.065,0,0,0,0.003,0,0,0,0.034,0,0,0.011,0.027,0,0,0,0,0
"WADE-003-139","PH22SH043-F",0.013,0.9,0.06,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-141","PH23SH005-F",0.375,0.594,0,0.025,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-143","PH23SH032-F",0.391,0.451,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-144","PH24GAM014-F",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
