"LabID","Specimen.ID","Eleginus gracilis","Clupea pallasii","Osmerus mordax","Pungitius pungitius","Hypomesus olidus","Ammodytes hexapterus","Myoxocephalus spp.","Boreogadus saida","Lepidopsetta spp.","Eurymen gyrinus","Coregonus spp."
"WADE-003-025","DL17HB001",0.506,0,0.492,0,0.002,0,0,0,0,0,0
"WADE-003-026","DL17OME001",0.977,0,0.008,0,0,0,0.016,0,0,0,0
"WADE-003-027","DL18OME001",0.999,0,0,0,0,0.001,0,0,0,0,0
"WADE-003-028","DL18OME002",0.982,0,0.003,0,0,0.015,0,0,0,0,0
"WADE-003-029","DL18OME003",1,0,0,0,0,0,0,0,0,0,0
"WADE-003-030","DL18OME004",1,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",1,0,0,0,0,0,0,0,0,0,0
"WADE-003-032","DL20OME002",1,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",0.982,0,0.018,0,0,0,0,0,0,0,0
"WADE-003-035","DL22OME001",1,0,0,0,0,0,0,0,0,0,0
"WADE-003-036","DL22OME002",1,0,0,0,0,0,0,0,0,0,0
"WADE-003-037","DL22OME003",0.925,0.003,0.067,0,0,0.004,0,0,0,0,0
"WADE-003-038","DL22OME004",0.579,0.365,0.004,0,0,0,0,0.018,0,0.034,0
"WADE-003-039","DL22OME005",1,0,0,0,0,0,0,0,0,0,0
"WADE-003-041","DL22SCM001",0.395,0,0.51,0.069,0.027,0,0,0,0,0,0
"WADE-003-042","DL23OME001",0.986,0,0.013,0,0,0.001,0,0,0,0,0
"WADE-003-043","DL23OME002",0.871,0,0,0,0,0.129,0,0,0,0,0
"WADE-003-044","DL23OME003",0.043,0,0.028,0,0,0.005,0.904,0,0.021,0,0
"WADE-003-045","DL23SCM001",0.715,0,0.029,0,0.21,0,0,0,0,0,0.046
