"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV2","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Eleginus","Eleginus gracilis"
"ASV3","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii"
"ASV5","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax"
"ASV8","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius"
"ASV12","Eukaryota","Chordata","Actinopteri","Osmeriformes","Osmeridae","Hypomesus","Hypomesus olidus"
"ASV14","Eukaryota","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes","Ammodytes hexapterus"
"ASV37","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus spp."
"ASV42","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Boreogadus","Boreogadus saida"
"ASV45","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta spp."
"ASV84","Eukaryota","Chordata","Actinopteri","Perciformes",NA,"Eurymen","Eurymen gyrinus"
"ASV148","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus","Coregonus spp."
