"LabID","Specimen.ID","Eleginus gracilis","Oncorhynchus kisutch","Oncorhynchus keta","Osmerus mordax","Coregonus nasus","Coregonus laurettae","Myzopsetta proboscidea","Oncorhynchus gorbuscha","Liparis spp.","Hypomesus olidus","ASV19","Clupea pallasii","Ammodytes hexapterus","Liopsetta glacialis","Gadus macrocephalus","Myoxocephalus scorpius","ASV38","Pleuronectes quadrituberculatus","Limanda aspera","Stichaeus punctatus","Lumpenus spp.","Acantholumpenus mackayi","Gymnocanthus tricuspis","Gymnocanthus pistilliger","Microcottus sellaris","Pallasina barbata","Myoxocephalus spp.","ASV86","ASV93"
"WADE-003-062","DL18OME005",49539,0,0,0,0,0,0,0,4139,0,806,0,1211,0,743,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"WADE-003-006","2014122",0,98123,26831,0,0,0,0,4949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-008","2017206",11870,2173,4041,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-025","DL17HB001",77524,0,0,21718,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-026","DL17OME001",83973,0,0,198,0,0,0,0,0,0,5317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-027","DL18OME001",86586,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-028","DL18OME002",135643,0,0,0,0,0,0,0,0,0,0,10,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-029","DL18OME003",74254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-030","DL18OME004",82847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",105021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-032","DL20OME002",58800,0,0,0,0,0,0,0,0,0,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",77423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-034","DL21OTZ007",97740,0,0,0,0,0,0,0,0,0,1285,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-035","DL22OME001",21332,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-044","DL23OME003",359,0,0,265,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0
"WADE-003-045","DL23SCM001",23733,0,0,749,11801,7143,0,0,0,2299,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-104","EB23PH005-S",2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,78,0,0,0,0
"WADE-003-107","EB23SH009-S",4317,0,0,105,0,0,3053,0,0,0,0,0,68,1045,0,0,0,590,1216,0,0,0,36,124,50,111,0,0,0
"WADE-003-110","EB24PH055-S",0,0,0,0,0,0,2385,0,0,0,0,0,34,0,0,0,384,75,0,0,190,183,26,0,0,0,0,0,0
"WADE-003-111","EB24PH075-S",0,0,0,0,0,0,24,0,0,0,0,0,156,0,0,686,288,0,28,73,0,0,0,18,0,0,0,0,0
"WADE-003-112","PH22SH004-S",171,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-114","PH22SH015-S",1031,0,0,139,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-123","PH22SH036-S",4321,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-118-UC","PH23SH005-S",0,0,0,20,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-147","PH23SH032-F",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,35,0,0,0,57,0,0,0,115,46,26
