"LabID","Specimen.ID","Eleginus gracilis","Oncorhynchus kisutch","Oncorhynchus keta","Osmerus mordax","Coregonus nasus","Coregonus laurettae","Myzopsetta proboscidea","Oncorhynchus gorbuscha","Liparis spp.","Hypomesus olidus","ASV19","Clupea pallasii","Ammodytes hexapterus","Liopsetta glacialis","Gadus macrocephalus","Myoxocephalus scorpius","ASV38","Pleuronectes quadrituberculatus","Limanda aspera","Stichaeus punctatus","Lumpenus spp.","Acantholumpenus mackayi","Gymnocanthus tricuspis","Gymnocanthus pistilliger","Microcottus sellaris","Pallasina barbata","Myoxocephalus spp.","ASV86","ASV93"
"WADE-003-062","DL18OME005",0.878,0,0,0,0,0,0,0,0.073,0,0.014,0,0.021,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-006","2014122",0,0.755,0.207,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-008","2017206",0.623,0.114,0.212,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-025","DL17HB001",0.781,0,0,0.219,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-026","DL17OME001",0.938,0,0,0.002,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-027","DL18OME001",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-028","DL18OME002",0.998,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-029","DL18OME003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-030","DL18OME004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-032","DL20OME002",0.977,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-034","DL21OTZ007",0.986,0,0,0,0,0,0,0,0,0,0.013,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-035","DL22OME001",0.958,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-044","DL23OME003",0.434,0,0,0.32,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0.239,0,0,0,0,0,0,0,0,0
"WADE-003-045","DL23SCM001",0.493,0,0,0.016,0.245,0.148,0,0,0,0.048,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-104","EB23PH005-S",0.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0.034,0,0,0,0
"WADE-003-107","EB23SH009-S",0.403,0,0,0.01,0,0,0.285,0,0,0,0,0,0.006,0.098,0,0,0,0.055,0.113,0,0,0,0.003,0.012,0.005,0.01,0,0,0
"WADE-003-110","EB24PH055-S",0,0,0,0,0,0,0.728,0,0,0,0,0,0.01,0,0,0,0.117,0.023,0,0,0.058,0.056,0.008,0,0,0,0,0,0
"WADE-003-111","EB24PH075-S",0,0,0,0,0,0,0.019,0,0,0,0,0,0.123,0,0,0.539,0.226,0,0.022,0.057,0,0,0,0.014,0,0,0,0,0
"WADE-003-112","PH22SH004-S",0.71,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-114","PH22SH015-S",0.879,0,0,0.118,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-123","PH22SH036-S",0.965,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-118-UC","PH23SH005-S",0,0,0,0.01,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-147","PH23SH032-F",0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0.121,0,0,0,0.197,0,0,0,0.397,0.159,0.09
