"Specimen.ID","Eleginus gracilis","NA","Oncorhynchus keta","Oncorhynchus kisutch","Clupea pallasii","Coregonus laurettae","Parophrys vetulus","Limanda aspera","Osmerus mordax","Ammodytes hexapterus","Gymnocanthus tricuspis","Gymnocanthus pistilliger","Pallasina barbata","Esox lucius","Myoxocephalus spp.","Salvelinus spp.","Stichaeus punctatus","Microcottus sellaris","NA.1","NA.2","Liparis spp."
"2017206",11829,0,4089,2208,0,959,0,0,0,0,0,0,0,107,0,76,0,0,0,0,0
"2017230",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2023157",0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022Beluga-0713-SD",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23OME002",11,14,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
"EB23PH005-S",2137,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
"EB23SH009-S",4371,4140,0,0,0,0,602,1237,119,70,38,126,120,0,0,0,0,0,0,0,0
"EB24GAM020-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"EB24PH055-S",0,3151,0,0,0,0,75,0,0,34,28,0,0,0,0,0,0,0,0,0,0
"EB24PH075-S",0,334,0,0,0,0,0,28,0,156,0,18,0,0,0,0,73,0,0,0,0
"PH22SH004-S",170,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH015-S",1026,0,0,0,3,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",0,136,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",4316,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
"PH23GAM007-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0
"PH23SH005-S",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH005-S",0,0,0,0,1931,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH032-S",15,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"EB23PH005-F",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH032-F",0,57,0,0,0,0,0,52,0,12,0,0,0,0,115,0,0,0,50,26,0
