site,week,year,order,variable,value
BAL,29,2015,Coleoptera,Carabidae,0.065192084
BAL,30,2015,Coleoptera,Carabidae,0.190919674
BAL,31,2015,Coleoptera,Carabidae,0.642607683
BAL,32,2015,Coleoptera,Carabidae,0.079161816
BAL,33,2015,Coleoptera,Carabidae,0.012805588
BAL,34,2015,Coleoptera,Carabidae,0.009313155
BAL,23,2016,Coleoptera,Carabidae,0.044907779
BAL,24,2016,Coleoptera,Carabidae,0.051323176
BAL,25,2016,Coleoptera,Carabidae,0.153969527
BAL,26,2016,Coleoptera,Carabidae,0.038492382
BAL,27,2016,Coleoptera,Carabidae,0.157177225
BAL,28,2016,Coleoptera,Carabidae,0.000801925
BAL,29,2016,Coleoptera,Carabidae,0.166800321
BAL,30,2016,Coleoptera,Carabidae,0.012830794
BAL,31,2016,Coleoptera,Carabidae,0.163592622
BAL,32,2016,Coleoptera,Carabidae,0.028869286
BAL,33,2016,Coleoptera,Carabidae,0.012830794
BAL,34,2016,Coleoptera,Carabidae,0.128307939
BAL,35,2016,Coleoptera,Carabidae,0.038492382
BAL,36,2016,Coleoptera,Carabidae,0.001603849
BAL,37,2016,Coleoptera,Carabidae,0
COO,29,2015,Coleoptera,Carabidae,0.0498132
COO,30,2015,Coleoptera,Carabidae,0.564134496
COO,31,2015,Coleoptera,Carabidae,0.254047323
COO,32,2015,Coleoptera,Carabidae,0
COO,33,2015,Coleoptera,Carabidae,0.082191781
COO,34,2015,Coleoptera,Carabidae,0.0498132
COO,23,2016,Coleoptera,Carabidae,0.061971831
COO,24,2016,Coleoptera,Carabidae,0.097652582
COO,25,2016,Coleoptera,Carabidae,0.165258216
COO,26,2016,Coleoptera,Carabidae,0.071361502
COO,27,2016,Coleoptera,Carabidae,0.345539906
COO,28,2016,Coleoptera,Carabidae,0
COO,29,2016,Coleoptera,Carabidae,0.064788732
COO,30,2016,Coleoptera,Carabidae,0.016901408
COO,31,2016,Coleoptera,Carabidae,0.090140845
COO,32,2016,Coleoptera,Carabidae,0.030046948
COO,33,2016,Coleoptera,Carabidae,0.007511737
COO,34,2016,Coleoptera,Carabidae,0.015023474
COO,35,2016,Coleoptera,Carabidae,0.018779343
COO,36,2016,Coleoptera,Carabidae,0.015023474
COO,37,2016,Coleoptera,Carabidae,0
ENG,29,2015,Coleoptera,Carabidae,0.09765625
