"LabID","Specimen.ID","Aspergillus","Eleginus gracilis","Diphyllobothrium schistochilos","Osmerus mordax dentex","Flavobacterium","Boreogadus saida","ASV31","Mallotus villosus catervarius","Lumpenus sagitta","Ascaris lumbricoides","Liopsetta glacialis","Corynosoma semerme","Resseliella odai","Argis lar","Corynosoma obtuscens","Myoxocephalus scorpius","Lycodes turneri","Cucumariidae sp. EAC-2010a","Pseudostephanoeca","Chionoecetes opilio","Polynoidae sp. CMC01","Pungitius pungitius","Clupea pallasii","Liparis bathyarcticus","Sarritor leptorhynchus","Marenzelleria arctia","Hypomesus olidus","Coregonus nasus","Lacrimispora","Plagiorchis sp. 5 CO-2024","Megalocottus platycephalus","Sphingobacterium","Crangon hakodatei","Polyarthra dolichoptera complex sp. UO-2013","Alcaligenes","Verticillium nonalfalfae","Bacillus","Cerebratulus environmental sample","Pythium","ASV292"
"WADE-003-087","08BS09",0,0,0,0,0.005,0.06,0.736,0,0,0,0,0,0,0,0,0.03,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0
"WADE-003-094","08BS7",0,0,0.002,0,0,0.905,0.001,0,0.013,0.004,0,0,0,0.029,0,0,0.025,0,0.001,0,0.012,0,0,0,0.006,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0
"WADE-003-096","09WWBS10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-081","2014BS18",0,0,0,0,0,0.801,0,0,0.169,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006
"WADE-003-066","DIO-001-11",0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-061","EB13GAM020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.12,0,0,0
"WADE-003-060","EB14GAM025",0,0,0,0,0.917,0,0,0,0,0.003,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0
"WADE-003-046","SHH-004-14",0.034,0.276,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0.103,0,0,0,0,0,0
"WADE-003-090","2012180",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-089","2015066",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-099","2023Beluga0721SA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-076","2023Beluga0721SB",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-074","2023Beluga0722SB",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-072","2023Beluga0722SE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-069","2023Beluga0726SB",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-067","2023Beluga0728SB",0,0,0,0,0.062,0,0.5,0,0,0.188,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,0,0
"WADE-003-064","DL16HB001",0,0.007,0,0,0,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-063","DL16OME004",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-062","DL18OME005",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-091","DL22SCM001",0,0.019,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.004,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-056","LDL-24-17",0.001,0.009,0,0,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.002,0,0,0.002,0
"WADE-003-083","2013RS31",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-082","2014-02-RS",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-053","N24-2013",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-052","PH14GAM020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"WADE-003-051","PH14GAM026",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-050","PH14GAM027",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-049","PH14GAM029",0.111,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0
"WADE-003-048","PH15GAM051",0,0,0,0,0.005,0,0.005,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
"WADE-003-019","2021BDL-0708Sa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
