"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV9","Fungi","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"ASV11","Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Eleginus","Eleginus gracilis"
"ASV17","Metazoa","Platyhelminthes","Cestoda","Diphyllobothriidea","Diphyllobothriidae","Diphyllobothrium","Diphyllobothrium schistochilos"
"ASV20","Metazoa","Chordata","Actinopteri","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax dentex"
"ASV21","Pseudomonadati","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV26","Chordata","Chordata","Actinopteri","Gadiformes","Gadidae","Boreogadus","Boreogadus saida"
"ASV31","Ascomycota","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium",NA
"ASV71","Metazoa","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus catervarius"
"ASV86","Chordata","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus sagitta"
"ASV99","Nematoda","Nematoda","Chromadorea","Rhabditida","Ascarididae","Ascaris","Ascaris lumbricoides"
"ASV100","Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Liopsetta","Liopsetta glacialis"
"ASV104","Metazoa","Acanthocephala","Palaeacanthocephala","Polymorphida","Polymorphidae","Corynosoma","Corynosoma semerme"
"ASV110","Arthropoda","Arthropoda","Insecta","Diptera","Cecidomyiidae","Resseliella","Resseliella odai"
"ASV120","Metazoa","Arthropoda","Malacostraca","Decapoda","Crangonidae","Argis","Argis lar"
"ASV126","Metazoa","Acanthocephala","Palaeacanthocephala","Polymorphida","Polymorphidae","Corynosoma","Corynosoma obtuscens"
"ASV132","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius"
"ASV133","Metazoa","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycodes","Lycodes turneri"
"ASV152","Metazoa","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae",NA,"Cucumariidae sp. EAC-2010a"
"ASV157",NA,NA,"Choanoflagellata","Choanoflagellata","Acanthoecida","Stephanoecidae","Pseudostephanoeca"
"ASV158","Arthropoda","Arthropoda","Malacostraca","Decapoda","Majidae","Chionoecetes","Chionoecetes opilio"
"ASV167","Metazoa","Annelida","Polychaeta","Phyllodocida","Polynoidae",NA,"Polynoidae sp. CMC01"
"ASV168","Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Pungitius","Pungitius pungitius"
"ASV169","Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii"
"ASV176","Metazoa","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis bathyarcticus"
"ASV177","Chordata","Chordata","Actinopteri","Perciformes","Agonidae","Sarritor","Sarritor leptorhynchus"
"ASV205","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Marenzelleria","Marenzelleria arctia"
"ASV211","Metazoa","Chordata","Actinopteri","Osmeriformes","Osmeridae","Hypomesus","Hypomesus olidus"
"ASV222","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Coregonus","Coregonus nasus"
"ASV224","Bacillati","Bacillati","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lacrimispora"
"ASV231","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Plagiorchiidae","Plagiorchis","Plagiorchis sp. 5 CO-2024"
"ASV247","Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Megalocottus","Megalocottus platycephalus"
"ASV256","Pseudomonadati","Pseudomonadati","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV265","Metazoa","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Crangon hakodatei"
"ASV269","Metazoa","Rotifera","Eurotatoria","Ploima","Synchaetidae","Polyarthra","Polyarthra dolichoptera complex sp. UO-2013"
"ASV271","Pseudomonadati","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes"
"ASV273","Ascomycota","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium nonalfalfae"
"ASV274","Bacillati","Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV276","Metazoa","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Cerebratulus","Cerebratulus environmental sample"
"ASV290",NA,"Oomycota","Oomycota","Peronosporomycetes","Pythiales","Pythiaceae","Pythium"
"ASV292","Chordata","Chordata","Actinopteri","Perciformes","Agonidae",NA,NA
