"LabID","Specimen.ID","Aspergillus","Eleginus gracilis","Diphyllobothrium schistochilos","Osmerus mordax dentex","Flavobacterium","Boreogadus saida","ASV31","Mallotus villosus catervarius","Lumpenus sagitta","Ascaris lumbricoides","Liopsetta glacialis","Corynosoma semerme","Resseliella odai","Argis lar","Corynosoma obtuscens","Myoxocephalus scorpius","Lycodes turneri","Cucumariidae sp. EAC-2010a","Pseudostephanoeca","Polynoidae sp. CMC01","Pungitius pungitius","Clupea pallasii","Liparis bathyarcticus","Sarritor leptorhynchus","Marenzelleria arctia","Hypomesus olidus","Plagiorchis sp. 5 CO-2024","Megalocottus platycephalus","Sphingobacterium","Crangon hakodatei","Alcaligenes","Verticillium nonalfalfae","Pythium","ASV292"
"WADE-003-087","08BS09",0,0,0,0,0.00497512437810945,0.0597014925373134,0.736318407960199,0,0,0,0,0,0,0,0,0.0298507462686567,0,0.159203980099502,0,0,0,0,0,0,0,0,0,0,0,0,0.00497512437810945,0.00497512437810945,0,0
"WADE-003-094","08BS7",0,0,0.00192122958693564,0,0,0.904899135446686,0.000960614793467819,0,0.0134486071085495,0.00384245917387128,0,0,0,0.0288184438040346,0,0,0.0249759846301633,0,0.000960614793467819,0.0115273775216138,0,0,0,0.00576368876080692,0,0,0.00288184438040346,0,0,0,0,0,0,0
"WADE-003-081","2014BS18",0,0,0,0,0,0.801104972375691,0,0,0.168508287292818,0,0,0,0,0,0,0,0,0,0,0.00552486187845304,0,0,0,0.0193370165745856,0,0,0,0,0,0,0,0,0,0.00552486187845304
"WADE-003-060","EB14GAM025",0,0,0,0,0.917142857142857,0,0,0,0,0.00285714285714286,0,0,0,0,0,0.0371428571428571,0,0,0,0,0,0,0.04,0,0,0,0,0,0.00285714285714286,0,0,0,0,0
"WADE-003-099","2023Beluga0721SA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-064","DL16HB001",0,0.0072463768115942,0,0,0,0,0,0,0,0.992753623188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-063","DL16OME004",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-091","DL22SCM001",0,0.0188073394495413,0.000458715596330275,0.963302752293578,0,0,0.000458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00688073394495413,0,0,0,0.0036697247706422,0.00642201834862385,0,0,0,0,0,0,0,0
"WADE-003-056","LDL-24-17",0.000919963201471941,0.00919963201471941,0,0,0.977000919963201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00643974241030359,0,0,0,0,0,0,0,0,0,0.00275988960441582,0,0,0.00183992640294388,0.00183992640294388,0
"WADE-003-050","PH14GAM027",0,0.999910144667086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98553329140084e-05,0,0,0
"WADE-003-048","PH15GAM051",0,0,0,0,0.00518134715025907,0,0.00518134715025907,0.984455958549223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518134715025907,0,0,0
"WADE-003-019","2021BDL-0708Sa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-025","DL17HB001",0,0.301282051282051,0,0.698717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-026","DL17OME001",0,0.989795918367347,0,0,0,0,0,0,0,0,0,0,0.0102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-027","DL18OME001",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-031","DL20OME001",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-033","DL20OME003",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-106","EB23SH008-S",0,0,0,0,0,0,0,0,0,0.0350877192982456,0.87719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087719298245614,0,0,0,0,0,0
"WADE-003-115","PH22SH036-S",0,0,0,0.0137931034482759,0,0.931034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551724137931034,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-126","EB22GAM019-F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-129","EB23SH008-F",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-135","PH22SH004-F",0,0.00469483568075117,0,0,0,0,0,0,0,0,0,0.723004694835681,0,0,0.248826291079812,0,0,0,0,0,0,0.0234741784037559,0,0,0,0,0,0,0,0,0,0,0,0
"WADE-003-137","PH22SH015-F",0,0.610526315789474,0,0.0105263157894737,0,0.0210526315789474,0,0,0,0,0,0,0.315789473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421052631578947,0,0,0,0
