Specimen.ID,LabID,reads.in,reads.out
2023157,WADE-003-001,642,606
2023279,WADE-003-002,532,387
2023295,WADE-003-004,3139,2735
2014122,WADE-003-006,1372,1361
2017206,WADE-003-008,1024,738
2017215,WADE-003-009,40992,3778
2017217,WADE-003-010,672,658
2017221,WADE-003-011,620,612
2017222,WADE-003-012,1802,1543
2017228,WADE-003-013,1364,1282
2017230,WADE-003-014,1652,1589
2018278,WADE-003-015,89,86
2020230,WADE-003-016,9123,4981
2021028,WADE-003-017,12855,367
2021214,WADE-003-018,713,705
2021BDL-0708Sa,WADE-003-019,73700,21306
2021BDL-0723A,WADE-003-020,472,441
2021BDL-0723C,WADE-003-021,616,236
2022161,WADE-003-022,1654,1629
2022Beluga-0713-SD,WADE-003-024,3792,2028
DL17HB001,WADE-003-025,44556,17690
DL17OME001,WADE-003-026,6725,2489
DL18OME001,WADE-003-027,13076,3893
DL18OME002,WADE-003-028,1319,1301
DL18OME003,WADE-003-029,1644,1610
DL18OME004,WADE-003-030,2029,1966
DL20OME001,WADE-003-031,3412,2411
DL20OME002,WADE-003-032,685,663
DL20OME003,WADE-003-033,59791,10878
DL21OTZ007,WADE-003-034,761,695
DL22OME001,WADE-003-035,696,685
DL22OME002,WADE-003-036,197,194
DL22OME003,WADE-003-037,800,473
DL22OME004,WADE-003-038,1484,938
DL22OME005,WADE-003-039,1592,906
DL22OTZ004,WADE-003-040,511,323
DL22SCM001,WADE-003-041,9687,4603
DL23OME001,WADE-003-042,3328,2183
DL23OME002,WADE-003-043,1224,1109
DL23OME003,WADE-003-044,353,347
DL23SCM001,WADE-003-045,1448,807
SHH-004-14,WADE-003-046,136916,61614
PL14GAM064,WADE-003-047,6655,6409
PH15GAM051,WADE-003-048,21435,10904
PH14GAM029,WADE-003-049,72583,13333
PH14GAM027,WADE-003-050,35375,19136
PH14GAM026,WADE-003-051,12190,10419
PH14GAM020,WADE-003-052,9085,4815
N24-2013,WADE-003-053,21829,7147
LDL-UNK-A-17,WADE-003-054,5377,4077
LDL-32-17,WADE-003-055,4988,4938
LDL-24-17,WADE-003-056,53203,26773
LDL-23-17,WADE-003-057,3907,3873
LDL-21-17,WADE-003-058,7899,4899
EB14GAM025,WADE-003-060,51024,13533
EB13GAM020,WADE-003-061,29795,8515
DL18OME005,WADE-003-062,4266,4211
DL16OME004,WADE-003-063,6546,4412
DL16HB001,WADE-003-064,16742,5132
EB15SH020,WADE-003-065,13850,3626
DIO-001-11,WADE-003-066,10128,7870
2023Beluga0728SB,WADE-003-067,28185,7145
2023Beluga0728SA,WADE-003-068,7182,6736
2023Beluga0726SB,WADE-003-069,5025,2824
unk_beluga,WADE-003-070,26823,1171
2023Beluga0722SF,WADE-003-071,30572,6199
2023Beluga0722SE,WADE-003-072,56826,4847
2023296,WADE-003-073,10953,6755
2023Beluga0722SB,WADE-003-074,172129,158625
2023Beluga0722SA,WADE-003-075,3278,3257
2023Beluga0721SB,WADE-003-076,8945,4346
2023Beluga0721SA,WADE-003-077,43636,4702
2022Beluga-0713-SB,WADE-003-078,2175,2161
2022Beluga-0713-SA,WADE-003-079,5733,5263
2021BDL-0723B,WADE-003-080,3414,3108
2014BS18,WADE-003-081,26988,10397
2014-02-RS,WADE-003-082,77381,36276
2013RS31,WADE-003-083,42796,10004
2010RSW-05,WADE-003-084,63657,7255
09WWBS10,WADE-003-085,69050,16911
08BS7,WADE-003-086,113346,16623
08BS09,WADE-003-087,48404,16124
2022Beluga-07130SD,WADE-003-088,47076,24591
2015066,WADE-003-089,14725,9303
2012180,WADE-003-090,11483,8959
DL22SCM001,WADE-003-091,50304,23053
DL22OTZ004,WADE-003-092,15215,13204
2021BDL-0723B,WADE-003-093,173914,15400
08BS7,WADE-003-094,157333,36577
2014-02-RS,WADE-003-095,38034,25561
09WWBS10,WADE-003-096,42458,32753
2023Beluga0722SA,WADE-003-097,9023,8948
2023Beluga0722SF,WADE-003-098,19136,11780
2023Beluga0721SA,WADE-003-099,31612,15269
2010RSW-05,WADE-003-100-C,211059,31809
2010RSW-05,WADE-003-100-UC,66889,41556
2014BS18,WADE-003-101-UC,125516,10069
EB21GAM031-S,WADE-003-102,1449,1121
EB23PH005-S,WADE-003-104,8614,2733
EB23PH028-S,WADE-003-105,7141,2381
EB23SH008-S,WADE-003-106,8768,2598
EB23SH009-S,WADE-003-107,18304,5665
EB24GAM020-S,WADE-003-108,4734,4645
EB24GAM027-S,WADE-003-109,7754,4911
PH22SH015-S,WADE-003-114,5177,4438
PH22SH036-S,WADE-003-115,54331,13692
PH22SH043-S,WADE-003-116,4430,4363
PH23GAM007-S,WADE-003-117,4541,4374
PH23SH005-S,WADE-003-118,4315,3815
PH23SH013-S,WADE-003-119,1590,1494
PH23SH032-S,WADE-003-120,68039,14931
PH24GAM014-S,WADE-003-121,4776,3377
EB22PH005-S,WADE-003-122,24741,5293
PH22SH036-S,WADE-003-123,2797,2038
EB24PH075-S,WADE-003-124,13898,3512
EB21GAM031-F,WADE-003-125,38501,14768
EB22GAM019-F,WADE-003-126,13267,4537
EB23PH028-F,WADE-003-128,45141,3723
EB23SH008-F,WADE-003-129,20918,15868
EB24PH075-F,WADE-003-134,81666,7665
PH22SH004-F,WADE-003-135,29568,8731
PH22SH015-F,WADE-003-137,125152,8183
PH22SH043-F,WADE-003-139,58677,2767
PH23SH005-F,WADE-003-141,85105,6283
PH23SH013-F,WADE-003-142,50791,17721
PH23SH032-F,WADE-003-143,138804,28140
PH23SH032-F,WADE-003-147,96559,14918
fin_whale-foregut2,WADE-003-150-B,15241,1534
