Specimen ID,Repeat or New Specimen?,Shipment,Species,Location,Month,Year,Sex,Stomach Goo,Intestinal Goo,,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age
08BS09,New,1,bearded seal,Barrow,JUL,2008,U,Yes,Yes,No,NA,NA,NA,NA,NA,unk
08BS7,Replacement,1,bearded seal,Barrow,JUL,2008,U,Yes,Yes,No,NA,NA,NA,NA,NA,4
08BS7,New,1,bearded seal,Barrow,JUL,2008,U,Yes,Yes,No,NA,NA,NA,NA,NA,4
09WWBS10,Replacement,1,bearded seal,Wainwright,JUL,2009,F,Yes,Yes,No,NA,NA,NA,NA,NA,9
09WWBS10,New,1,bearded seal,Wainwright,JUL,2009,F,Yes,Yes,No,NA,NA,NA,NA,NA,9
2014BS18,Replacement,1,bearded seal,Barrow,JUL,2014,M,Yes,Yes,No,NA,NA,NA,NA,NA,10
2014BS18,New,1,bearded seal,Barrow,JUL,2014,M,Yes,Yes,No,NA,NA,NA,NA,NA,10
DIO-001-11,New,1,bearded seal,Diomede Island,,2011,M,Yes,Yes,No,NA,NA,NA,NA,NA,0
EB13GAM020,New,1,bearded seal,Gambell,,2013,U,Yes,Yes,No,NA,NA,NA,NA,NA,1
EB14GAM025,New,1,bearded seal,Gambell,Spring,2014,U,Yes,Yes,No,NA,NA,NA,NA,NA,0
SHH-004-14,New,1,bearded seal,Shishmaref,Fall,2014,M,Yes,Yes,No,NA,NA,NA,NA,NA,1
2012180,New,1,beluga whale,Cook Inlet,OCT,2012,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2015066,New,1,beluga whale,Cook Inlet,JUN,2015,M,no,yes,yes,unk,unk,unk,unk,unk,NA
2018199,New,1,beluga whale,Pilot Station,AUG,2018,M,yes,no,no,yes,no,no,no,NA,NA
2020230,New,1,beluga whale,Cook Inlet,SEP,2020,M,yes,no,no,lamprey,no,no,no,unknown,NA
2021028,New,1,beluga whale,Cook Inlet,MAY,2021,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2021214,New,1,beluga whale,Cook Inlet,SEP,2021,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2022161,New,1,beluga whale,Cook Inlet,AUG,2022,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2022165,New,1,beluga whale,Cook Inlet,AUG,2022,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2021BDL-0708Sa,New,1,beluga whale,Barrow,JUL,2021,F,yes,no,no,yes,no,no,yes,isopods,NA
2021BDL-0723A,New,1,beluga whale,Barrow,JUL,2021,F,yes,no,no,yes,yes,yes,yes,NA,NA
2021BDL-0723B,Replacement,1,beluga whale,Barrow,JUL,2021,F,yes,no,no,yes,yes,no,yes,NA,NA
2021BDL-0723B,New,1,beluga whale,Barrow,JUL,2021,F,yes,no,no,yes,yes,no,yes,NA,NA
2021BDL-0723C,New,1,beluga whale,Barrow,JUL,2021,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2022Beluga-0713-SA,New,1,beluga whale,Barrow,JUL,2022,M,yes,no,no,yes,yes,yes,yes,gastropod,NA
2022Beluga-0713-SB,New,1,beluga whale,Barrow,JUL,2022,F,yes,no,no,yes,yes,,yes,NA,NA
2022Beluga-0713-SD,New,1,beluga whale,Barrow,JUL,2022,M,yes,no,no,yes,yes,yes,yes,echiurid,NA
2023Beluga0721SA,Replacement,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,no,yes,NA,NA
2023Beluga0721SA,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,no,yes,NA,NA
2023Beluga0721SB,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2023Beluga0722SA,Replacement,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,no,yes,crab,NA
2023Beluga0722SA,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,no,yes,crab,NA
2023Beluga0722SB,New,1,beluga whale,Barrow,JUL,2023,F,yes,no,no,no,yes,no,no,NA,NA
2023Beluga0722SD,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,no,yes,NA,NA
2023Beluga0722SE,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,yes,yes,yes,no,NA,NA
2023Beluga0722SF,Replacement,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,yes,yes,no,yes,NA,NA
2023Beluga0722SF,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,yes,yes,no,yes,NA,NA
2023Beluga0726SA,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,no,yes,NA,NA
2023Beluga0726SB,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,yes,unk,unk,unk,unk,unk,NA
2023Beluga0728SA,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,no,yes,NA,NA
2023Beluga0728SB,New,1,beluga whale,Barrow,JUL,2023,M,yes,no,no,no,yes,yes,yes,echiurid,NA
DL16HB001,New,1,beluga whale,Hooper Bay,OCT,2016,M,yes,no,no,yes,no,yes,yes,"echiurid, amphipod, isopod",NA
DL16OME004,New,1,beluga whale,Nome,NOV,2016,M,yes,no,no,yes,no,yes,yes,crab,NA
DL18OME005,New,1,beluga whale,Nome,43405,2018,F,yes,no,no,yes,no,yes,yes,"amphipod, crab, tunicate",NA
DL20OME001,New,1,beluga whale,Nome,SEP,2020,M,yes,no,no,yes,no,yes,yes,"echiurid, amphipod, gastropod, bivalve",NA
DL20OME002,New,1,beluga whale,Nome,SEP,2020,M,yes,no,no,yes,no,yes,no,"amphipod, crustacean",NA
DL20OME003,New,1,beluga whale,Nome,NOV,2020,F,yes,no,no,yes,no,yes,yes,"echurid, tunicate",NA
DL21OTZ007,New,1,beluga whale,Kotzebue,SEP,2021,F,yes,no,no,yes,yes,yes,yes,"echiurid, amphipod, isopod, crab, mysid",NA
DL22OME001,New,1,beluga whale,Nome,OCT,2022,U,yes,no,no,yes,no,yes,no,echiurid,NA
DL22OME002,New,1,beluga whale,Nome,NOV,2022,F,yes,no,no,yes,no,yes,yes,"echurid, crab",NA
DL22OME003,New,1,beluga whale,Nome,DEC,2022,U,yes,no,no,yes,no,yes,no,echiurid,NA
DL22OME004,New,1,beluga whale,Nome,JAN,2022,U,yes,no,no,yes,no,yes,yes,"bivalve, tunicate",NA
DL22OME005,New,1,beluga whale,Nome,FEB,2022,U,yes,no,no,yes,no,yes,no,"echiurid, amphipod, bivalve, tunicate",NA
DL22OTZ004,New,1,beluga whale,Kotzebue,JUN,2022,F,yes,no,no,yes,no,no,yes,"echiurid, isopod",NA
DL22SCM001,New,1,beluga whale,Scammon Bay,OCT,2022,F,yes,no,no,yes,no,yes,no," echiurid, amphipod",NA
LDL-16-17,New,1,beluga whale,Point Lay,JUN,2017,M,yes,no,yes,unk,unk,unk,unk,unk,NA
LDL-21-17,New,1,beluga whale,Point Lay,JUN,2017,F,yes,no,no,yes,yes,no,no,NA,NA
LDL-23-17,New,1,beluga whale,Point Lay,JUN,2017,M,yes,no,yes,unk,unk,unk,unk,unk,NA
LDL-24-17,New,1,beluga whale,Point Lay,JUN,2017,F,yes,no,no,no,yes,no,no,"bivalve, gastropod, crustacean",NA
LDL-32-17,New,1,beluga whale,Point Lay,JUN,2017,M,yes,no,no,no,no,no,yes,"tunicate, crab",NA
LDL-UNK-A-17,New,1,beluga whale,Point Lay,JUN,2017,U,yes,no,yes,unk,unk,unk,unk,unk,NA
2010RSW-05,Replacement,1,ringed seal,Barrow,FEB,2010,M,Yes,Yes,No,NA,NA,NA,NA,NA,unk
2010RSW-05,New,1,ringed seal,Barrow,FEB,2010,M,Yes,Yes,No,NA,NA,NA,NA,NA,unk
2013RS31,New,1,ringed seal,Barrow,DEC,2013,M,Yes,Yes,No,NA,NA,NA,NA,NA,unk
2014-02-RS,Replacement,1,ringed seal,Barrow,APR,2014,F,Yes,Yes,No,NA,NA,NA,NA,NA,10
2014-02-RS,New,1,ringed seal,Barrow,APR,2014,F,Yes,Yes,No,NA,NA,NA,NA,NA,10
N24-2013,New,1,ringed seal,Nome,,2012,U,Yes,Yes,No,NA,NA,NA,NA,NA,18
PH14GAM020,New,1,ringed seal,Gambell,MAY,2014,U,Yes,Yes,No,NA,NA,NA,NA,NA,unk
PH14GAM026,New,1,ringed seal,Gambell,JUN,2014,M,Yes,Yes,No,NA,NA,NA,NA,NA,0
PH14GAM027,New,1,ringed seal,Gambell,JUN,2014,M,Yes,Yes,No,NA,NA,NA,NA,NA,unk
PH14GAM029,New,1,ringed seal,Gambell,MAY,2014,U,Yes,Yes,No,NA,NA,NA,NA,NA,unk
PH15GAM051,New,1,ringed seal,Gambell,NOV,2015,M,Yes,Yes,No,NA,NA,NA,NA,NA,0
DIO-001-14,New,1,spotted seal,Diomede Island,OCT,2014,U,Yes,Yes,No,NA,NA,NA,NA,NA,0
PL12GAM049,New,1,spotted seal,Gambell,,2012,U,Yes,Yes,No,NA,NA,NA,NA,NA,unk
2014122,New,2,Beluga whale,Cook Inlet,AUG,2014,M,Yes,no,No,Yes,no,no,no,Sea Lice,NA
2017198,New,2,Beluga whale,Cook Inlet,SEP,2017,M,Yes,no,Yes,no,no,no,no,NA,NA
2017206,New,2,Beluga whale,Cook Inlet,SEP,2017,F,Yes,no,No,Yes,no,Yes,no,Sea Lice,NA
2017215,New,2,Beluga whale,Cook Inlet,OCT,2017,M,Yes,no,Yes,no,no,no,no,NA,NA
2017217,New,2,Beluga whale,Cook Inlet,OCT,2017,M,Yes,no,Yes,no,no,no,no,NA,NA
2017221,New,2,Beluga whale,Cook Inlet,OCT,2017,F,Yes,no,Yes,no,no,no,no,NA,NA
2017222,New,2,Beluga whale,Cook Inlet,OCT,2017,M,Yes,no,Yes,no,no,no,no,NA,NA
2017228,New,2,Beluga whale,Cook Inlet,,2017,M,Yes,no,Yes,no,no,no,no,NA,NA
2017230,New,2,Beluga whale,Cook Inlet,OCT,2017,M,Yes,no,Yes,no,no,no,no,NA,NA
2018278,New,2,Beluga whale,Cook Inlet,OCT,2018,M,Yes,no,No,no,no,no,no,Terrestrial Plant,NA
2020230,Replacement,2,Beluga whale,Cook Inlet,SEP,2020,M,Yes,no,No,Lamprey,no,no,no,Unknown,NA
2021028,Replacement,2,Beluga whale,Cook Inlet,MAY,2021,M,Yes,no,Yes,no,no,no,no,NA,NA
2021214,Replacement,2,Beluga whale,Cook Inlet,SEP,2021,M,Yes,no,Yes,no,no,no,no,NA,NA
2022161,Replacement,2,Beluga whale,Cook Inlet,AUG,2022,M,Yes,no,Yes,no,no,no,no,NA,NA
2022165,Replacement,2,Beluga whale,Cook Inlet,AUG,2022,M,Yes,no,Yes,no,no,no,no,NA,NA
2023157,Replacement,2,Beluga whale,Cook Inlet,JUL,2023,M,Yes,no,No,Yes,no,no,no,NA,NA
2023279,Replacement,2,Beluga whale,Cook Inlet,SEP,2023,F,Yes,no,No,Yes,no,no,Yes,NA,NA
2023281,Replacement,2,Beluga whale,Cook Inlet,OCT,2023,F,Yes,no,Yes,no,no,no,no,NA,NA
2023295,Replacement,2,Beluga whale,Cook Inlet,OCT,2023,F,Yes,no,No,no,no,no,Yes,NA,NA
2023296,Replacement,2,Beluga whale,Cook Inlet,OCT,2023,M,Yes,no,Yes,no,no,no,no,NA,NA
2023296,New,2,Beluga whale,Cook Inlet,OCT,2023,M,Yes,no,Yes,no,no,no,no,NA,NA
2021BDL-0708Sa,Replacement,2,Beluga whale,Utqia?vik,JUL,2021,F,Yes,no,No,Yes,no,no,Yes,Isopods,NA
2021BDL-0723A,Replacement,2,Beluga whale,Utqia?vik,JUL,2021,F,Yes,no,No,Yes,Yes,Yes,Yes,NA,NA
2021BDL-0723C,Replacement,2,Beluga whale,Utqia?vik,JUL,2021,M,Yes,no,Yes,no,no,no,no,NA,NA
2022Beluga-0713-SD,Replacement,2,Beluga whale,Utqia?vik,JUL,2022,M,Yes,no,No,Yes,Yes,Yes,Yes,Echiurid,NA
DL17HB001,New,2,Beluga whale,Hooper Bay,OCT,2017,U,Yes,no,No,Yes,no,Yes,Yes,"Bivalves, Sea Lice, Mysids, Isopods, Caprellids, Amphipods, Echiurids",NA
