,Specimen.ID,Repeat.or.New.Specimen.,Shipment,Predator,Location,Month,Year,Sex,Sample_type,Stomach.Goo,Intestinal.Goo,X,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age,age or age class,reproductive status,length,weight,date/time of tissue harvest,stranded vs harvested,decomposition gradient code (if applicable),time between animal death and tissue harvest (if known),,,,,
1,2023281,Replacement,2,beluga whale,Cook Inlet,OCT,2023,F,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
2,2023295,Replacement,2,beluga whale,Cook Inlet,OCT,2023,F,stomach,Yes,no,No,no,no,no,Yes,NA,NA,,,,,,,,,,,,,
3,2023296,Replacement,2,beluga whale,Cook Inlet,OCT,2023,M,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
4,2014122,New,2,beluga whale,Cook Inlet,AUG,2014,M,stomach,Yes,no,No,Yes,no,no,no,Sea Lice,NA,,,,,,,,,,,,,
5,2017198,New,2,beluga whale,Cook Inlet,SEP,2017,M,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
6,2017206,New,2,beluga whale,Cook Inlet,SEP,2017,F,stomach,Yes,no,No,Yes,no,Yes,no,Sea Lice,NA,,,,,,,,,,,,,
7,2017215,New,2,beluga whale,Cook Inlet,OCT,2017,M,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
8,2017217,New,2,beluga whale,Cook Inlet,OCT,2017,M,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
9,2017221,New,2,beluga whale,Cook Inlet,OCT,2017,F,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
10,2017222,New,2,beluga whale,Cook Inlet,OCT,2017,M,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
11,2017228,New,2,beluga whale,Cook Inlet,,2017,M,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
12,2017230,New,2,beluga whale,Cook Inlet,OCT,2017,M,stomach,Yes,no,Yes,no,no,no,no,NA,NA,,,,,,,,,,,,,
13,2018278,New,2,beluga whale,Cook Inlet,OCT,2018,M,stomach,Yes,no,No,no,no,no,no,Terrestrial Plant,NA,,,,,,,,,,,,,
14,2020230,New,1,beluga whale,Cook Inlet,SEP,2020,M,stomach,yes,no,no,lamprey,no,no,no,unknown,NA,,,,,,,,,,,,,
15,2021028,New,1,beluga whale,Cook Inlet,MAY,2021,M,stomach,yes,no,yes,unk,unk,unk,unk,unk,NA,,,,,,,,,,,,,
16,2021214,New,1,beluga whale,Cook Inlet,SEP,2021,M,stomach,yes,no,yes,unk,unk,unk,unk,unk,NA,,,,,,,,,,,,,
17,2021BDL-0708Sa,New,1,beluga whale,Barrow,JUL,2021,F,stomach,yes,no,no,yes,no,no,yes,isopods,NA,,,,,,,,,,,,,
18,2021BDL-0723A,New,1,beluga whale,Barrow,JUL,2021,F,stomach,yes,no,no,yes,yes,yes,yes,NA,NA,,,,,,,,,,,,,
19,2021BDL-0723C,New,1,beluga whale,Barrow,JUL,2021,M,stomach,yes,no,yes,unk,unk,unk,unk,unk,NA,,,,,,,,,,,,,
20,2022161,New,1,beluga whale,Cook Inlet,AUG,2022,M,stomach,yes,no,yes,unk,unk,unk,unk,unk,NA,,,,,,,,,,,,,
21,2022165,New,1,beluga whale,Cook Inlet,AUG,2022,M,stomach,yes,no,yes,unk,unk,unk,unk,unk,NA,,,,,,,,,,,,,
22,2022Beluga-0713-SD,New,1,beluga whale,Barrow,JUL,2022,M,stomach,yes,no,no,yes,yes,yes,yes,echiurid,NA,,,,,,,,,,,,,
23,DL17HB001,New,2,beluga whale,Hooper Bay,OCT,2017,U,stomach,Yes,no,No,Yes,no,Yes,Yes,"Bivalves, Sea Lice, Mysids, Isopods, Caprellids, Amphipods, Echiurids",NA,,,,,,,,,,,,,
24,DL17OME001,New,2,beluga whale,Nome,OCT,2017,M,stomach,Yes,no,No,Yes,no,Yes,Yes,"Gastropods, Sea Lice, Amphipods, Crab, Echiurids",NA,,,,,,,,,,,,,
25,DL18OME001,New,2,beluga whale,Nome,OCT,2018,M,stomach,Yes,no,No,Yes,no,Yes,Yes,"Clams, Sea Lice, Crab",NA,,,,,,,,,,,,,
26,DL18OME002,New,2,beluga whale,Nome,OCT,2018,M,stomach,Yes,no,No,Yes,no,Yes,Yes,"Clams, Sea Lice",NA,,,,,,,,,,,,,
27,DL18OME003,New,2,beluga whale,Nome,OCT,2018,M,stomach,Yes,no,No,Yes,no,Yes,Yes,"Copepod, Amphipods, Crab, Echiurids",NA,,,,,,,,,,,,,
28,DL18OME004,New,2,beluga whale,Nome,OCT,2018,F,stomach,Yes,no,No,Yes,no,Yes,Yes,"Crab, Echiurids, Hydrozoan",NA,,,,,,,,,,,,,
29,DL20OME001,New,1,beluga whale,Nome,SEP,2020,M,stomach,yes,no,no,yes,no,yes,yes,"echiurid, amphipod, gastropod, bivalve",NA,,,,,,,,,,,,,
