Sample,Specimen.ID,Repeat.or.New.Specimen.,Shipment,Predator,Location,Month,Season,Year,Sex,Marker,Stomach.Goo,Intestinal.Goo,Location.in.body,X,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age
WADE-003-030,DL18OME004,New,2,beluga whale,Nome,OCT,Fall,2018,F,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Crab, Echiurids, Hydrozoan",NA
WADE-003-029,DL18OME003,New,2,beluga whale,Nome,OCT,Fall,2018,M,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Copepod, Amphipods, Crab, Echiurids",NA
WADE-003-035,DL22OME001,Replacement,2,beluga whale,Nome,OCT,Fall,2022,U,12S,Yes,no,,No,Yes,no,Yes,no,Echiurid,NA
WADE-003-035,DL22OME001,Replacement,2,beluga whale,Nome,OCT,Fall,2022,U,12S,Yes,no,stomach,No,Yes,no,Yes,no,Echiurid,NA
WADE-003-144,PH24GAM014-F,New,3,ringed seal,Gambell,JUN,Summer,2024,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-036,DL22OME002,Replacement,2,beluga whale,Nome,NOV,Fall,2022,F,12S,Yes,no,,No,Yes,no,Yes,Yes,"Echurid, crab",NA
WADE-003-036,DL22OME002,Replacement,2,beluga whale,Nome,NOV,Fall,2022,F,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Echurid, crab",NA
WADE-003-027,DL18OME001,New,2,beluga whale,Nome,OCT,Fall,2018,M,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Clams, Sea Lice, Crab",NA
WADE-003-042,DL23OME001,Replacement,2,beluga whale,Nome,OCT,Fall,2023,U,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,NA,NA
WADE-003-028,DL18OME002,New,2,beluga whale,Nome,OCT,Fall,2018,M,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Clams, Sea Lice",NA
WADE-003-026,DL17OME001,New,2,beluga whale,Nome,OCT,Fall,2017,M,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Gastropods, Sea Lice, Amphipods, Crab, Echiurids",NA
WADE-003-033,DL20OME003,Replacement,2,beluga whale,Nome,NOV,Fall,2020,F,12S,Yes,no,,No,Yes,no,Yes,Yes,"Echurid, tunicate",NA
WADE-003-033,DL20OME003,Replacement,2,beluga whale,Nome,NOV,Fall,2020,F,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Echurid, tunicate",NA
WADE-003-039,DL22OME005,Replacement,2,beluga whale,Nome,FEB,Winter,2022,U,12S,Yes,no,,No,Yes,no,Yes,no,"Echiurid, amphipod, bivalve, tunicate",NA
WADE-003-039,DL22OME005,Replacement,2,beluga whale,Nome,FEB,Winter,2022,U,12S,Yes,no,stomach,No,Yes,no,Yes,no,"Echiurid, amphipod, bivalve, tunicate",NA
WADE-003-040,DL22OTZ004,Replacement,2,beluga whale,Kotzebue,JUN,Summer,2022,F,12S,Yes,no,stomach,No,Yes,no,no,Yes,"Echiurid, isopod",NA
WADE-003-040,DL22OTZ004,Replacement,2,beluga whale,Kotzebue,JUN,Summer,2022,F,12S,Yes,no,stomach,No,Yes,no,no,Yes,"Echiurid, isopod",NA
WADE-003-001,2023157,Replacement,2,beluga whale,Cook Inlet,JUL,Summer,2023,M,12S,Yes,no,stomach,No,Yes,no,no,no,NA,NA
WADE-003-020,2021BDL-0723A,Replacement,2,beluga whale,Utqia?vik,JUL,Summer,2021,F,12S,Yes,no,,No,Yes,Yes,Yes,Yes,NA,NA
